# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.026, 689
5, 0.052, 541
4, 0.077, 689
5, 0.102, 542
4, 0.127, 689
5, 0.153, 542
4, 0.179, 689
5, 0.203, 544
4, 0.229, 688
5, 0.254, 544
4, 0.280, 689
5, 0.305, 546
4, 0.330, 689
5, 0.356, 547
4, 0.381, 689
5, 0.406, 548
4, 0.432, 689
5, 0.457, 549
4, 0.483, 689
5, 0.507, 550
4, 0.533, 689
5, 0.559, 551
4, 0.584, 689
5, 0.609, 551
4, 0.634, 688
5, 0.660, 552
4, 0.686, 688
5, 0.710, 551
4, 0.736, 689
5, 0.761, 551
4, 0.787, 689
5, 0.811, 551
4, 0.837, 689
5, 0.863, 550
4, 0.888, 689
5, 0.913, 549
4, 0.938, 689
5, 0.964, 548
4, 0.990, 688
5, 1.014, 546
4, 1.040, 689
5, 1.065, 545
4, 1.091, 689
5, 1.116, 545
4, 1.141, 689
5, 1.167, 544
4, 1.192, 689
5, 1.217, 543
4, 1.243, 688
5, 1.268, 542
4, 1.294, 689
5, 1.318, 542
4, 1.344, 689
5, 1.370, 542
4, 1.395, 688
5, 1.420, 542
4, 1.445, 687
5, 1.471, 542
4, 1.497, 677
5, 1.521, 543
4, 1.547, 657
5, 1.572, 544
4, 1.598, 627
5, 1.622, 545
4, 1.648, 591
5, 1.674, 546
4, 1.699, 550
5, 1.724, 546
4, 1.749, 504
5, 1.775, 546
4, 1.801, 459
5, 1.825, 546
4, 1.851, 414
5, 1.876, 545
4, 1.902, 374
5, 1.927, 543
4, 1.952, 339
5, 1.978, 541
4, 2.003, 313
5, 2.028, 539
4, 2.054, 296
5, 2.079, 535
4, 2.105, 291
5, 2.129, 532
4, 2.155, 297
5, 2.181, 528
4, 2.206, 310
5, 2.231, 524
4, 2.256, 333
5, 2.282, 523
4, 2.308, 364
5, 2.332, 519
4, 2.358, 402
5, 2.383, 517
4, 2.409, 446
5, 2.434, 515
4, 2.459, 490
5, 2.485, 515
4, 2.510, 536
5, 2.536, 516
4, 2.560, 578
5, 2.586, 519
4, 2.612, 615
5, 2.637, 523
4, 2.662, 645
5, 2.687, 528
4, 2.713, 667
5, 2.739, 534
4, 2.763, 680
5, 2.789, 540
4, 2.814, 683
5, 2.840, 546
4, 2.865, 674
5, 2.890, 554
4, 2.916, 657
5, 2.941, 559
4, 2.966, 630
5, 2.992, 565
4, 3.017, 597
5, 3.043, 569
4, 3.067, 557
5, 3.093, 572
4, 3.119, 515
5, 3.144, 573
4, 3.169, 471
5, 3.194, 572
4, 3.220, 428
5, 3.246, 569
4, 3.270, 388
5, 3.296, 565
4, 3.321, 353
5, 3.347, 558
4, 3.371, 326
5, 3.397, 551
4, 3.423, 308
5, 3.448, 542
4, 3.473, 300
5, 3.498, 532
4, 3.524, 303
5, 3.550, 522
4, 3.574, 314
5, 3.600, 513
4, 3.625, 333
5, 3.651, 505
4, 3.676, 360
5, 3.701, 497
4, 3.727, 395
5, 3.752, 492
4, 3.777, 435
5, 3.803, 489
4, 3.828, 477
5, 3.854, 489
4, 3.878, 520
5, 3.904, 491
4, 3.930, 561
5, 3.955, 496
4, 3.980, 598
5, 4.005, 503
4, 4.031, 628
5, 4.057, 512
4, 4.081, 653
5, 4.107, 523
4, 4.132, 667
5, 4.158, 535
4, 4.182, 672
5, 4.208, 548
4, 4.234, 667
5, 4.259, 561
4, 4.284, 653
5, 4.309, 572
4, 4.335, 630
5, 4.361, 582
4, 4.385, 601
5, 4.411, 591
4, 4.436, 565
5, 4.462, 596
4, 4.487, 525
5, 4.512, 598
4, 4.538, 484
5, 4.563, 597
4, 4.588, 443
5, 4.614, 593
4, 4.639, 404
5, 4.665, 586
4, 4.689, 370
5, 4.715, 577
4, 4.741, 342
5, 4.766, 564
4, 4.791, 322
5, 4.816, 551
4, 4.842, 313
5, 4.868, 535
4, 4.892, 313
5, 4.918, 520
4, 4.943, 321
5, 4.969, 504
4, 4.994, 337
5, 5.019, 491
4, 5.045, 361
5, 5.070, 480
4, 5.095, 392
5, 5.120, 472
4, 5.146, 429
5, 5.172, 466
4, 5.196, 468
5, 5.222, 464
4, 5.247, 508
5, 5.273, 466
4, 5.298, 547
5, 5.323, 472
4, 5.349, 582
5, 5.374, 482
4, 5.400, 612
5, 5.425, 495
4, 5.450, 636
5, 5.476, 511
4, 5.501, 652
5, 5.526, 528
4, 5.552, 658
5, 5.577, 546
4, 5.603, 656
5, 5.627, 564
4, 5.653, 645
5, 5.679, 581
4, 5.704, 626
5, 5.729, 596
4, 5.754, 600
5, 5.780, 608
4, 5.806, 568
5, 5.830, 616
4, 5.856, 532
5, 5.881, 621
4, 5.907, 494
5, 5.931, 621
4, 5.957, 456
5, 5.983, 617
4, 6.008, 419
5, 6.033, 608
4, 6.058, 387
5, 6.084, 595
4, 6.110, 360
5, 6.134, 580
4, 6.160, 340
5, 6.185, 561
4, 6.211, 329
5, 6.236, 541
4, 6.261, 327
5, 6.287, 520
4, 6.312, 332
5, 6.337, 499
4, 6.363, 345
5, 6.388, 481
4, 6.414, 366
5, 6.438, 466
4, 6.464, 392
5, 6.490, 453
4, 6.515, 424
5, 6.540, 445
4, 6.565, 459
5, 6.591, 442
4, 6.617, 495
5, 6.641, 445
4, 6.667, 531
5, 6.692, 450
4, 6.718, 563
5, 6.742, 462
4, 6.768, 592
5, 6.794, 478
4, 6.819, 616
5, 6.844, 497
4, 6.869, 632
5, 6.895, 518
4, 6.921, 640
5, 6.945, 541
4, 6.971, 640
5, 6.996, 565
4, 7.022, 633
5, 7.047, 586
4, 7.072, 618
5, 7.098, 606
4, 7.123, 595
5, 7.148, 623
4, 7.174, 568
5, 7.199, 634
4, 7.225, 537
5, 7.249, 641
4, 7.275, 504
5, 7.301, 642
4, 7.326, 469
5, 7.351, 638
4, 7.376, 436
5, 7.402, 629
4, 7.428, 406
5, 7.452, 615
4, 7.478, 380
5, 7.503, 596
4, 7.529, 361
5, 7.554, 573
4, 7.579, 349
5, 7.605, 549
4, 7.630, 344
5, 7.655, 524
