# Created on 2026-03-19 16:53:24.454012+01:00 (1773935604.454012 s)
# baldaquin version: 0.10.2
# Creator: Pendulum View
# Time4   ADC4   Time5   ADC5
0.024   489   0.050   615
0.075   508   0.101   638
0.126   523   0.151   655
0.177   533   0.202   667
0.228   537   0.252   673
0.278   535   0.304   673
0.329   528   0.354   666
0.379   515   0.405   653
0.431   497   0.455   635
0.481   475   0.506   611
0.532   451   0.557   584
0.582   426   0.608   556
0.633   400   0.658   527
0.684   376   0.709   499
0.735   354   0.759   474
0.785   336   0.811   453
0.836   322   0.861   436
0.886   313   0.912   425
0.938   309   0.962   420
0.988   310   1.013   421
1.039   316   1.063   430
1.089   329   1.115   444
1.140   344   1.165   462
1.190   365   1.216   486
1.242   388   1.266   513
1.292   412   1.317   541
1.343   436   1.368   570
1.393   460   1.419   598
1.444   482   1.469   624
1.495   501   1.520   645
1.546   515   1.570   661
1.596   525   1.622   671
1.647   530   1.672   675
1.697   529   1.723   673
1.749   523   1.773   663
1.799   511   1.824   649
1.850   495   1.874   628
1.900   476   1.926   603
1.951   453   1.976   576
2.001   430   2.027   547
2.053   405   2.077   518
2.103   382   2.128   490
2.154   360   2.179   466
2.204   342   2.230   446
2.255   327   2.280   432
2.306   318   2.331   423
2.357   313   2.381   420
2.407   313   2.433   424
2.458   318   2.483   434
2.508   329   2.534   450
2.560   344   2.584   471
2.610   363   2.635   495
2.661   384   2.686   523
2.711   408   2.737   552
2.762   432   2.788   580
2.812   456   2.838   607
2.864   477   2.889   631
2.914   496   2.939   651
2.965   511   2.991   664
3.015   523   3.041   671
3.066   528   3.092   673
3.117   528   3.142   668
3.168   523   3.193   657
3.218   513   3.244   640
3.269   498   3.295   618
3.319   479   3.345   593
3.371   457   3.396   565
3.421   434   3.446   537
3.472   410   3.498   510
3.522   386   3.548   483
3.573   364   3.599   461
3.623   345   3.649   444
3.675   329   3.700   431
3.725   319   3.750   425
3.776   313   3.802   425
3.826   312   3.852   431
3.877   316   3.903   442
3.928   326   3.953   460
3.979   340   4.004   481
4.029   359   4.055   506
4.080   380   4.106   533
4.130   404   4.156   561
4.182   429   4.207   588
4.232   453   4.257   613
4.283   476   4.309   634
4.333   496   4.359   651
4.384   512   4.410   661
4.434   524   4.460   666
4.486   531   4.511   666
4.536   532   4.561   660
4.587   527   4.613   647
4.637   518   4.663   629
4.688   502   4.714   607
4.739   484   4.764   583
4.790   461   4.815   556
4.840   437   4.866   529
4.891   411   4.917   503
4.941   386   4.967   480
4.993   363   5.018   460
5.043   343   5.068   446
5.094   326   5.120   436
5.144   315   5.170   432
5.195   308   5.221   433
5.246   307   5.271   441
5.297   312   5.322   452
5.347   322   5.372   470
5.398   337   5.424   491
5.448   356   5.474   516
5.499   379   5.525   541
5.550   404   5.575   567
5.601   430   5.626   591
5.652   456   5.677   614
5.702   479   5.728   632
5.753   501   5.778   647
5.804   517   5.829   656
5.855   530   5.879   659
5.905   536   5.931   657
5.956   537   5.981   649
6.006   532   6.032   637
6.058   521   6.082   620
6.108   505   6.133   599
6.159   484   6.183   575
6.209   460   6.235   550
6.260   434   6.285   526
6.310   408   6.336   503
6.362   382   6.386   482
6.412   357   6.437   464
6.463   336   6.488   452
6.513   320   6.539   443
6.564   309   6.589   440
6.615   303   6.640   442
6.666   302   6.690   450
6.716   308   6.742   462
6.767   320   6.792   478
6.817   336   6.843   498
6.869   358   6.893   520
6.919   382   6.944   544
6.970   408   6.994   567
7.020   435   7.046   590
7.071   462   7.096   610
7.121   487   7.147   627
7.173   508   7.197   639
7.223   525   7.248   647
7.274   536   7.299   651
7.324   542   7.350   648
7.375   541   7.400   641
7.426   534   7.451   629
7.477   521   7.501   614
7.527   503   7.553   594
7.578   481   7.603   573
7.628   455   7.654   550
7.680   428   7.704   528
7.730   400   7.755   507
7.781   373   7.806   487
7.831   349   7.857   471
7.882   328   7.907   459
7.932   313   7.958   451
7.984   303   8.008   447
8.034   299   8.059   449
8.085   300   8.110   456
8.135   309   8.161   467
8.186   322   8.211   482
8.237   341   8.262   500
8.288   364   8.312   520
8.338   390   8.364   541
8.389   417   8.414   564
8.439   445   8.465   585
8.491   471   8.515   604
8.541   495   8.566   621
8.592   516   8.617   633
8.642   531   8.668   641
8.693   540   8.719   645
8.743   544   8.769   644
8.795   541   8.820   637
8.845   531   8.870   627
8.896   517   8.922   612
8.946   496   8.972   595
8.997   472   9.023   575
9.048   446   9.073   553
9.099   418   9.124   532
9.149   390   9.175   511
9.200   364   9.226   493
9.250   341   9.276   476
9.302   322   9.327   464
9.352   309   9.377   456
9.403   301   9.429   451
9.453   299   9.479   452
9.504   304   9.530   457
9.554   314   9.580   467
9.606   329   9.631   481
9.656   349   9.681   498
9.707   373   9.733   517
9.757   400   9.783   538
9.808   427   9.834   560
9.859   455   9.884   581
9.910   481   9.935   600
9.960   503   9.986   617
10.011   521   10.037   629
10.061   533   10.087   638
10.113   540   10.138   643
10.163   541   10.188   643
10.214   535   10.240   638
10.264   524   10.290   629
10.315   507   10.341   614
10.366   486   10.391   598
10.417   462   10.442   578
10.467   435   10.492   557
10.518   408   10.544   536
10.568   382   10.594   515
10.619   357   10.645   495
10.670   336   10.695   478
10.721   320   10.746   466
10.771   309   10.797   456
10.822   304   10.848   451
10.872   304   10.898   451
10.924   310   10.949   455
10.974   322   10.999   464
11.025   339   11.051   478
11.075   360   11.101   494
11.126   384   11.152   514
11.177   410   11.202   535
11.228   436   11.253   557
11.278   462   11.303   579
