# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.025, 373
5, 0.051, 490
4, 0.075, 373
5, 0.101, 490
4, 0.127, 373
5, 0.152, 491
4, 0.177, 373
5, 0.202, 491
4, 0.228, 373
5, 0.254, 491
4, 0.278, 373
5, 0.304, 490
4, 0.329, 374
5, 0.355, 490
4, 0.381, 373
5, 0.405, 491
4, 0.431, 373
5, 0.456, 492
4, 0.482, 373
5, 0.507, 491
4, 0.532, 373
5, 0.558, 491
4, 0.583, 374
5, 0.608, 491
4, 0.634, 373
5, 0.659, 491
4, 0.685, 373
5, 0.709, 491
4, 0.735, 373
5, 0.761, 491
4, 0.786, 373
5, 0.811, 491
4, 0.836, 373
5, 0.862, 492
4, 0.888, 373
5, 0.912, 491
4, 0.938, 373
5, 0.963, 491
4, 0.989, 373
5, 1.013, 491
4, 1.039, 373
5, 1.065, 491
4, 1.090, 373
5, 1.115, 491
4, 1.140, 374
5, 1.166, 491
4, 1.192, 373
5, 1.216, 491
4, 1.242, 373
5, 1.267, 491
4, 1.293, 374
5, 1.318, 491
4, 1.343, 374
5, 1.369, 491
4, 1.394, 374
5, 1.419, 490
4, 1.445, 374
5, 1.470, 491
4, 1.496, 374
5, 1.520, 490
4, 1.546, 373
5, 1.572, 491
4, 1.597, 374
5, 1.622, 491
4, 1.647, 374
5, 1.673, 491
4, 1.699, 374
5, 1.723, 491
4, 1.749, 374
5, 1.774, 491
4, 1.800, 374
5, 1.824, 491
4, 1.850, 374
5, 1.876, 491
4, 1.901, 374
5, 1.926, 490
4, 1.951, 374
5, 1.977, 490
4, 2.003, 374
5, 2.027, 491
4, 2.053, 374
5, 2.078, 490
4, 2.104, 374
5, 2.129, 491
4, 2.154, 374
5, 2.180, 491
4, 2.205, 374
5, 2.230, 491
4, 2.256, 374
5, 2.281, 491
4, 2.307, 374
5, 2.331, 491
4, 2.357, 374
5, 2.383, 491
4, 2.408, 374
5, 2.433, 491
4, 2.458, 374
5, 2.484, 491
4, 2.510, 374
5, 2.534, 492
4, 2.560, 373
5, 2.585, 491
4, 2.611, 374
5, 2.635, 491
4, 2.661, 374
5, 2.687, 491
4, 2.712, 374
5, 2.737, 491
4, 2.762, 374
5, 2.788, 491
4, 2.814, 374
5, 2.838, 491
4, 2.864, 374
5, 2.889, 491
4, 2.915, 374
5, 2.940, 491
4, 2.965, 374
5, 2.991, 491
4, 3.016, 375
5, 3.041, 490
4, 3.067, 375
5, 3.092, 491
4, 3.118, 375
5, 3.142, 491
4, 3.168, 374
5, 3.194, 491
4, 3.219, 374
5, 3.244, 490
4, 3.269, 374
5, 3.295, 491
4, 3.321, 374
5, 3.345, 490
4, 3.371, 374
5, 3.396, 490
4, 3.422, 375
5, 3.446, 490
4, 3.472, 375
5, 3.498, 490
4, 3.523, 374
5, 3.549, 491
4, 3.573, 375
5, 3.599, 491
4, 3.625, 375
5, 3.650, 492
4, 3.675, 377
5, 3.700, 496
4, 3.726, 381
5, 3.752, 503
4, 3.776, 388
5, 3.802, 513
4, 3.827, 396
5, 3.853, 523
4, 3.878, 407
5, 3.903, 535
4, 3.929, 418
5, 3.954, 549
4, 3.979, 431
5, 4.005, 562
4, 4.030, 442
5, 4.056, 575
4, 4.080, 455
5, 4.106, 585
4, 4.132, 464
5, 4.157, 595
4, 4.182, 473
5, 4.207, 602
4, 4.233, 479
5, 4.259, 607
4, 4.283, 483
5, 4.309, 608
4, 4.334, 484
5, 4.360, 606
4, 4.384, 483
5, 4.410, 602
4, 4.436, 479
5, 4.461, 596
4, 4.486, 472
5, 4.511, 586
4, 4.537, 463
5, 4.563, 575
4, 4.587, 453
5, 4.613, 563
4, 4.638, 441
5, 4.664, 550
4, 4.689, 430
5, 4.714, 537
4, 4.740, 417
5, 4.765, 525
4, 4.790, 407
5, 4.816, 514
4, 4.841, 396
5, 4.867, 505
4, 4.891, 388
5, 4.917, 498
4, 4.943, 381
5, 4.968, 494
4, 4.993, 378
5, 5.018, 493
4, 5.044, 377
5, 5.070, 494
4, 5.094, 379
5, 5.120, 499
4, 5.145, 383
5, 5.171, 506
4, 5.195, 389
5, 5.221, 516
4, 5.247, 399
5, 5.272, 527
4, 5.297, 409
5, 5.322, 539
4, 5.348, 420
5, 5.374, 552
4, 5.398, 432
5, 5.424, 565
4, 5.449, 444
5, 5.475, 576
4, 5.500, 455
5, 5.525, 586
4, 5.551, 465
5, 5.576, 596
4, 5.601, 473
5, 5.627, 602
4, 5.652, 480
5, 5.678, 605
4, 5.702, 483
5, 5.728, 606
4, 5.754, 485
5, 5.779, 605
4, 5.804, 482
5, 5.829, 599
4, 5.855, 479
5, 5.881, 592
4, 5.905, 472
5, 5.931, 583
4, 5.956, 464
5, 5.982, 572
4, 6.006, 453
5, 6.032, 560
4, 6.058, 441
5, 6.083, 547
4, 6.108, 430
5, 6.133, 535
4, 6.159, 418
5, 6.185, 524
4, 6.209, 406
5, 6.235, 514
4, 6.260, 397
5, 6.286, 505
4, 6.311, 388
5, 6.336, 499
4, 6.362, 383
5, 6.387, 496
4, 6.412, 380
5, 6.438, 496
4, 6.463, 378
5, 6.489, 497
4, 6.513, 380
5, 6.539, 502
4, 6.565, 385
5, 6.590, 510
4, 6.615, 391
5, 6.640, 519
4, 6.666, 400
5, 6.692, 529
4, 6.716, 411
5, 6.742, 542
4, 6.767, 422
5, 6.793, 554
4, 6.818, 434
5, 6.843, 566
4, 6.869, 446
5, 6.894, 577
4, 6.919, 457
5, 6.944, 587
4, 6.970, 467
5, 6.996, 595
4, 7.020, 475
5, 7.046, 600
4, 7.071, 481
5, 7.097, 603
4, 7.122, 484
5, 7.147, 604
4, 7.173, 484
5, 7.198, 602
4, 7.223, 482
5, 7.249, 597
4, 7.274, 478
5, 7.300, 589
4, 7.324, 472
5, 7.350, 580
4, 7.376, 463
5, 7.401, 569
4, 7.426, 452
5, 7.451, 558
4, 7.477, 441
5, 7.503, 546
4, 7.527, 429
5, 7.553, 535
4, 7.578, 417
5, 7.604, 523
4, 7.629, 405
5, 7.654, 514
4, 7.680, 397
5, 7.705, 506
4, 7.730, 388
5, 7.755, 501
4, 7.781, 382
5, 7.807, 498
4, 7.831, 379
5, 7.857, 498
4, 7.882, 378
5, 7.908, 501
4, 7.933, 381
5, 7.958, 505
4, 7.984, 385
5, 8.009, 513
4, 8.035, 393
5, 8.060, 522
4, 8.085, 402
5, 8.111, 533
4, 8.136, 412
5, 8.161, 544
4, 8.187, 423
5, 8.212, 556
4, 8.238, 436
5, 8.262, 567
4, 8.288, 448
5, 8.314, 578
4, 8.339, 458
5, 8.364, 587
4, 8.389, 468
5, 8.415, 594
4, 8.441, 476
5, 8.465, 599
4, 8.491, 481
5, 8.516, 602
4, 8.542, 485
5, 8.566, 602
4, 8.592, 486
5, 8.618, 599
4, 8.643, 483
5, 8.668, 594
4, 8.693, 477
5, 8.719, 586
4, 8.745, 471
5, 8.769, 577
4, 8.795, 462
5, 8.820, 567
4, 8.846, 452
5, 8.871, 556
4, 8.896, 440
5, 8.922, 544
4, 8.947, 428
5, 8.972, 534
4, 8.998, 416
5, 9.023, 523
4, 9.049, 405
5, 9.073, 513
