# Created on 2026-03-12 15:33:08.204556+01:00 (1773325988.204556 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.025, 544
5, 0.051, 507
4, 0.076, 544
5, 0.102, 508
4, 0.126, 545
5, 0.152, 508
4, 0.178, 544
5, 0.203, 507
4, 0.228, 544
5, 0.253, 508
4, 0.279, 545
5, 0.305, 508
4, 0.329, 544
5, 0.355, 508
4, 0.380, 544
5, 0.406, 508
4, 0.431, 544
5, 0.456, 508
4, 0.482, 544
5, 0.507, 508
4, 0.532, 544
5, 0.557, 507
4, 0.583, 543
5, 0.609, 507
4, 0.633, 544
5, 0.659, 507
4, 0.684, 544
5, 0.710, 507
4, 0.735, 544
5, 0.760, 508
4, 0.786, 544
5, 0.811, 508
4, 0.837, 544
5, 0.862, 508
4, 0.887, 544
5, 0.913, 507
4, 0.938, 544
5, 0.963, 507
4, 0.989, 542
5, 1.014, 508
4, 1.040, 538
5, 1.064, 508
4, 1.090, 532
5, 1.116, 508
4, 1.141, 524
5, 1.166, 508
4, 1.191, 515
5, 1.217, 508
4, 1.243, 506
5, 1.267, 507
4, 1.293, 496
5, 1.318, 507
4, 1.344, 487
5, 1.368, 508
4, 1.394, 478
5, 1.420, 508
4, 1.445, 471
5, 1.470, 508
4, 1.495, 466
5, 1.521, 508
4, 1.547, 462
5, 1.571, 508
4, 1.597, 460
5, 1.622, 508
4, 1.648, 460
5, 1.673, 508
4, 1.698, 463
5, 1.724, 508
4, 1.749, 467
5, 1.774, 507
4, 1.800, 473
5, 1.825, 507
4, 1.851, 481
5, 1.875, 507
4, 1.901, 489
5, 1.927, 507
4, 1.952, 498
5, 1.977, 508
4, 2.002, 507
5, 2.028, 508
4, 2.054, 516
5, 2.078, 508
4, 2.104, 525
5, 2.129, 507
4, 2.155, 532
5, 2.180, 507
4, 2.205, 537
5, 2.231, 507
4, 2.256, 541
5, 2.281, 508
4, 2.306, 542
