# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.024, 505
5, 0.050, 450
4, 0.076, 505
5, 0.101, 447
4, 0.126, 505
5, 0.151, 445
4, 0.177, 505
5, 0.203, 445
4, 0.227, 505
5, 0.253, 445
4, 0.278, 506
5, 0.304, 445
4, 0.328, 506
5, 0.354, 445
4, 0.380, 506
5, 0.405, 448
4, 0.430, 506
5, 0.455, 452
4, 0.481, 506
5, 0.507, 456
4, 0.531, 506
5, 0.557, 459
4, 0.582, 506
5, 0.608, 459
4, 0.633, 506
5, 0.658, 460
4, 0.684, 507
5, 0.709, 459
4, 0.734, 506
5, 0.760, 459
4, 0.785, 507
5, 0.811, 458
4, 0.835, 505
5, 0.861, 456
4, 0.887, 506
5, 0.912, 457
4, 0.937, 506
5, 0.962, 457
4, 0.988, 506
5, 1.014, 456
4, 1.038, 505
5, 1.064, 456
4, 1.089, 506
5, 1.115, 456
4, 1.139, 506
5, 1.165, 456
4, 1.191, 506
5, 1.216, 457
4, 1.241, 506
5, 1.266, 457
4, 1.292, 505
5, 1.318, 458
4, 1.342, 506
5, 1.368, 459
4, 1.393, 505
5, 1.419, 458
4, 1.444, 506
5, 1.469, 459
4, 1.495, 506
5, 1.520, 458
4, 1.545, 506
5, 1.571, 458
4, 1.596, 506
5, 1.622, 458
4, 1.646, 506
5, 1.672, 458
4, 1.698, 506
5, 1.723, 458
4, 1.748, 507
5, 1.773, 457
4, 1.799, 506
5, 1.825, 457
4, 1.849, 506
5, 1.875, 457
4, 1.900, 506
5, 1.926, 456
4, 1.950, 506
5, 1.976, 457
4, 2.002, 506
5, 2.027, 457
4, 2.052, 506
5, 2.077, 457
4, 2.103, 506
5, 2.129, 457
4, 2.153, 506
5, 2.179, 457
4, 2.204, 506
5, 2.230, 458
4, 2.256, 505
5, 2.280, 458
4, 2.306, 506
5, 2.331, 458
4, 2.357, 505
5, 2.382, 458
4, 2.407, 506
5, 2.433, 458
4, 2.458, 505
5, 2.483, 458
4, 2.509, 505
5, 2.534, 458
4, 2.560, 505
5, 2.584, 458
4, 2.610, 505
5, 2.636, 458
4, 2.661, 505
5, 2.686, 458
4, 2.711, 505
5, 2.737, 457
4, 2.763, 506
5, 2.787, 458
4, 2.813, 505
5, 2.838, 462
4, 2.864, 505
5, 2.888, 467
4, 2.914, 506
5, 2.940, 474
4, 2.965, 505
5, 2.990, 483
4, 3.015, 506
5, 3.041, 493
4, 3.067, 506
5, 3.091, 504
4, 3.117, 506
5, 3.142, 515
4, 3.168, 506
5, 3.193, 525
4, 3.218, 507
5, 3.244, 535
4, 3.269, 506
5, 3.294, 544
4, 3.320, 506
5, 3.345, 549
4, 3.371, 506
5, 3.395, 553
4, 3.421, 506
5, 3.447, 555
4, 3.472, 505
5, 3.497, 554
4, 3.522, 506
5, 3.548, 550
4, 3.574, 505
5, 3.598, 544
4, 3.624, 506
5, 3.649, 537
4, 3.675, 506
5, 3.699, 529
4, 3.725, 505
5, 3.751, 518
4, 3.776, 506
5, 3.801, 508
4, 3.826, 506
5, 3.852, 497
4, 3.878, 505
5, 3.902, 487
4, 3.928, 506
5, 3.953, 478
4, 3.979, 506
5, 4.004, 472
4, 4.029, 506
5, 4.055, 466
