# Created on 2026-03-19 17:00:14.847233+01:00 (1773936014.847233 s)
# baldaquin version: 0.10.2
# Creator: Pendulum View
# Time4   ADC4   Time5   ADC5
0.024   417   0.050   439
0.076   417   0.101   439
0.126   416   0.151   440
0.177   416   0.203   444
0.227   415   0.253   453
0.278   415   0.304   468
0.328   415   0.354   488
0.380   416   0.405   511
0.430   417   0.455   536
0.481   418   0.507   562
0.531   420   0.557   587
0.582   422   0.608   610
0.633   425   0.658   630
0.684   428   0.709   644
0.734   432   0.760   654
0.785   436   0.811   658
0.835   440   0.861   656
0.887   445   0.912   648
0.937   448   0.962   636
0.988   451   1.014   618
1.038   454   1.064   596
1.089   455   1.115   573
1.139   454   1.165   547
1.191   453   1.216   522
1.241   449   1.266   500
1.292   445   1.318   479
1.342   439   1.368   464
1.393   432   1.419   453
1.444   424   1.469   447
1.495   416   1.520   447
1.545   408   1.571   453
1.596   401   1.622   464
1.646   395   1.672   479
1.698   389   1.723   499
1.748   386   1.773   521
1.799   385   1.825   544
1.849   386   1.875   568
1.900   390   1.926   590
1.951   397   1.976   610
2.002   404   2.027   627
2.052   414   2.077   639
2.103   425   2.129   645
2.153   436   2.179   647
2.204   447   2.230   643
2.255   459   2.280   634
2.306   469   2.331   622
2.357   476   2.382   605
2.407   482   2.433   585
2.458   484   2.483   563
2.509   484   2.534   542
2.560   481   2.584   521
2.610   474   2.636   501
2.661   465   2.686   486
2.711   453   2.737   474
2.763   440   2.787   466
2.813   425   2.838   462
2.864   410   2.888   464
2.914   396   2.940   470
2.965   383   2.990   481
3.015   372   3.041   495
3.067   364   3.091   512
3.117   359   3.142   530
3.168   358   3.193   550
3.218   360   3.244   569
3.269   367   3.294   587
3.320   377   3.345   602
3.371   390   3.395   614
3.421   406   3.447   623
3.472   423   3.497   627
3.522   441   3.548   627
3.574   458   3.598   623
3.624   475   3.649   615
3.675   489   3.699   603
3.725   500   3.751   589
3.776   507   3.801   574
3.826   510   3.852   557
3.878   508   3.902   540
3.928   502   3.953   525
3.979   491   4.004   511
4.029   477   4.055   499
4.080   460   4.105   491
4.131   440   4.156   486
4.182   420   4.206   485
4.232   400   4.258   487
4.283   381   4.308   492
4.333   364   4.359   502
4.385   351   4.409   512
4.435   342   4.460   525
4.486   338   4.511   538
4.536   338   4.562   552
4.587   343   4.612   565
4.637   353   4.663   577
4.689   367   4.713   587
4.739   385   4.764   594
4.790   406   4.815   599
4.840   427   4.866   602
4.891   450   4.916   601
4.942   471   4.967   598
4.993   490   5.017   592
5.043   506   5.069   584
5.094   518   5.119   575
5.144   525   5.170   565
5.196   526   5.220   555
5.246   523   5.271   545
5.297   513   5.322   536
5.347   499   5.373   528
5.398   480   5.424   521
5.448   459   5.474   516
5.500   436   5.525   514
5.550   412   5.575   513
5.601   389   5.627   514
5.651   369   5.677   518
5.702   350   5.728   522
5.753   337   5.778   527
5.804   328   5.829   534
5.854   325   5.880   541
5.905   327   5.931   547
5.955   335   5.981   554
6.007   348   6.032   560
6.057   365   6.082   565
6.108   386   6.134   568
6.158   410   6.184   571
6.209   435   6.235   572
6.259   459   6.285   572
6.311   482   6.336   571
6.361   502   6.386   570
6.412   518   6.438   567
6.462   528   6.488   565
6.513   533   6.539   562
6.564   533   6.589   558
6.615   526   6.640   555
6.665   515   6.691   552
6.716   498   6.742   549
6.766   477   6.792   547
6.818   454   6.843   545
6.868   429   6.893   543
6.919   404   6.945   542
6.969   380   6.995   541
7.020   360   7.046   541
7.071   343   7.096   540
7.122   331   7.147   540
7.172   324   7.197   539
7.223   323   7.249   539
7.273   328   7.299   539
7.324   337   7.350   538
7.375   352   7.400   539
7.426   372   7.451   539
7.476   394   7.502   540
7.527   418   7.553   541
7.577   444   7.603   543
7.629   466   7.654   545
7.679   488   7.704   548
7.730   507   7.756   551
7.780   520   7.806   555
7.831   529   7.857   559
7.882   531   7.907   563
7.933   529   7.958   566
7.983   520   8.008   570
8.034   507   8.060   572
8.084   489   8.110   573
8.135   468   8.161   574
8.186   445   8.211   574
8.237   421   8.262   572
8.288   397   8.313   569
8.338   376   8.364   564
8.389   358   8.414   559
8.440   343   8.465   552
8.491   334   8.515   545
8.541   330   8.567   538
8.592   331   8.617   532
8.642   338   8.668   525
8.694   348   8.718   519
8.744   364   8.769   515
8.795   383   8.819   513
8.845   404   8.871   513
8.896   426   8.921   514
8.946   448   8.972   517
8.998   470   9.022   523
9.048   488   9.073   530
9.099   502   9.124   539
9.149   513   9.175   549
9.200   519   9.225   559
9.251   520   9.276   570
9.302   516   9.326   579
9.352   506   9.378   588
9.403   493   9.428   594
9.453   476   9.479   598
9.505   457   9.529   600
9.555   437   9.580   599
9.606   416   9.631   596
9.656   396   9.682   590
9.707   378   9.732   581
9.757   364   9.783   570
9.809   353   9.833   558
9.859   347   9.884   545
9.910   345   9.935   532
9.960   347   9.986   520
10.011   354   10.036   509
10.062   365   10.087   500
10.113   379   10.137   493
10.163   395   10.189   489
10.214   414   10.239   489
10.264   432   10.290   492
10.316   450   10.340   499
10.366   466   10.391   507
10.417   480   10.442   519
10.467   491   10.493   533
10.518   498   10.543   548
10.568   501   10.594   564
10.620   500   10.644   579
10.670   495   10.695   593
10.721   486   10.746   604
10.771   475   10.797   613
10.822   461   10.847   619
10.873   446   10.898   621
10.924   430   10.948   619
10.974   415   11.000   613
11.025   401   11.050   604
11.075   389   11.101   591
11.127   378   11.151   576
11.177   371   11.202   559
11.228   368   11.253   541
11.278   368   11.304   524
11.329   370   11.355   507
11.379   376   11.405   492
11.431   384   11.456   481
11.481   395   11.506   474
11.532   407   11.558   471
11.582   419   11.608   471
11.633   432   11.659   476
11.684   445   11.709   486
11.735   455   11.760   499
11.785   464   11.811   515
11.836   471   11.862   533
11.886   475   11.912   553
11.938   476   11.963   572
11.988   475   12.013   591
12.039   471   12.065   607
12.089   465   12.115   620
12.140   458   12.166   629
12.191   448   12.216   635
12.242   439   12.267   636
12.292   429   12.317   631
12.343   420   12.369   622
12.393   412   12.419   610
12.444   404   12.470   593
12.495   399   12.520   575
12.546   396   12.571   554
12.596   394   12.622   533
12.647   394   12.673   514
12.697   396   12.723   495
12.749   399   12.774   481
12.799   404   12.824   469
12.850   409   12.876   462
12.900   416   12.926   460
12.951   422   12.977   463
13.002   428   13.027   471
13.053   434   13.078   483
13.103   438   13.128   498
13.154   442   13.180   517
13.204   445   13.230   538
13.255   447   13.281   559
13.306   448   13.331   581
13.357   447   13.382   600
13.407   446   13.433   617
13.458   444   13.484   629
13.508   442   13.534   638
13.560   439   13.585   642
13.610   436   13.635   640
13.661   434   13.687   635
13.711   431   13.737   623
13.762   429   13.788   608
13.813   427   13.838   590
13.864   425   13.889   569
13.914   424   13.939   548
13.965   423   13.991   527
14.015   422   14.041   506
14.066   421   14.092   488
14.117   420   14.142   474
14.168   420   14.193   464
14.218   420   14.244   458
14.269   419   14.295   458
14.319   418   14.345   462
14.371   418   14.396   473
14.421   418   14.446   487
14.472   417   14.498   504
14.522   417   14.548   523
14.573   418   14.599   545
14.624   419   14.649   567
14.675   420   14.700   587
14.725   422   14.751   605
14.776   425   14.802   621
14.826   427   14.852   631
14.877   431   14.903   638
14.928   435   14.953   640
14.979   439   15.004   636
15.030   442   15.055   629
15.080   446   15.106   616
15.131   449   15.156   601
15.182   451   15.207   582
15.233   452   15.257   562
15.283   451   15.309   541
15.334   450   15.359   521
15.384   447   15.410   503
15.436   443   15.460   487
15.486   437   15.511   475
15.537   431   15.562   467
15.587   424   15.613   464
15.638   417   15.663   466
15.688   410   15.714   472
15.740   404   15.764   482
15.790   398   15.815   496
15.841   394   15.866   513
15.891   392   15.917   532
15.942   392   15.967   551
15.993   393   16.018   570
16.044   397   16.068   589
16.094   402   16.120   604
16.145   409   16.170   617
16.195   417   16.221   625
16.247   427   16.271   629
16.297   436   16.322   629
16.348   446   16.373   625
16.398   456   16.424   616
16.449   464   16.474   605
16.499   471   16.525   590
16.551   475   16.575   573
16.601   476   16.626   555
16.652   476   16.677   537
16.702   472   16.728   520
16.753   466   16.778   505
16.804   458   16.829   493
16.855   447   16.879   484
16.905   435   16.931   479
16.956   423   16.981   477
17.006   410   17.032   480
17.058   398   17.082   486
17.108   387   17.133   496
17.159   379   17.184   509
17.209   372   17.235   523
17.260   370   17.285   539
17.311   369   17.336   555
17.362   372   17.386   571
17.412   378   17.437   585
17.463   388   17.488   596
17.513   400   17.539   605
17.564   413   17.589   611
17.615   428   17.640   613
17.666   443   17.690   612
17.716   458   17.742   607
17.767   471   17.792   600
17.817   482   17.843   589
17.869   490   17.893   578
17.919   496   17.944   564
17.970   497   17.995   551
18.020   494   18.046   537
18.071   488   18.097   524
18.122   478   18.147   514
18.173   466   18.198   506
18.223   451   18.248   500
18.274   434   18.300   497
18.324   418   18.350   497
18.375   401   18.401   500
18.426   385   18.451   505
18.477   371   18.502   513
18.527   361   18.553   522
18.578   355   18.604   533
18.628   352   18.654   544
18.680   353   18.705   555
18.730   359   18.755   565
18.781   368   18.807   574
18.831   381   18.857   582
18.882   397   18.908   587
18.933   414   18.958   591
18.984   433   19.009   592
19.034   451   19.059   590
19.085   469   19.111   587
19.135   485   19.161   581
19.186   497   19.212   574
19.237   505   19.262   567
19.288   510   19.313   558
19.338   510   19.364   550
19.389   505   19.415   542
19.439   496   19.465   535
19.491   483   19.516   529
19.541   467   19.566   524
19.592   448   19.618   522
19.642   429   19.668   521
19.693   409   19.719   520
19.744   390   19.769   522
19.795   374   19.820   525
19.845   360   19.871   529
19.896   350   19.922   534
19.946   344   19.972   539
19.997   343   20.023   545
20.048   346   20.073   550
20.099   353   20.124   555
20.149   366   20.175   559
20.200   381   20.226   562
20.250   400   20.276   565
20.302   420   20.327   566
20.352   440   20.377   567
20.403   460   20.429   566
20.453   479   20.479   566
20.504   494   20.530   564
20.555   506   20.580   562
20.606   513   20.631   560
20.656   516   20.682   557
20.707   514   20.733   555
20.757   507   20.783   553
20.808   496   20.834   551
20.859   481   20.884   549
20.910   463   20.935   548
20.960   443   20.986   547
21.011   422   21.037   546
21.061   402   21.087   545
21.113   383   21.138   544
21.163   367   21.188   543
21.214   354   21.240   543
21.264   345   21.290   542
21.315   341   21.341   542
21.366   341   21.391   541
21.417   347   21.442   540
21.467   357   21.493   540
21.518   371   21.544   540
21.568   387   21.594   540
21.619   406   21.645   541
21.670   427   21.695   541
21.721   447   21.746   542
21.771   466   21.797   545
21.822   483   21.848   547
21.872   497   21.898   550
21.924   507   21.949   554
21.974   513   21.999   557
22.025   514   22.051   561
22.075   510   22.101   564
22.126   501   22.152   567
22.177   489   22.202   569
22.228   473   22.253   571
22.278   455   22.304   571
22.329   435   22.355   571
22.379   416   22.405   568
22.431   397   22.456   566
22.481   380   22.506   562
22.532   365   22.557   557
22.582   355   22.608   551
22.633   348   22.659   545
22.683   347   22.709   539
22.735   350   22.760   533
22.785   356   22.810   528
22.836   366   22.862   523
22.886   381   22.912   520
22.937   397   22.963   518
22.988   415   23.013   518
23.039   433   23.064   520
23.089   452   23.115   523
23.140   468   23.166   528
23.190   482   23.216   535
23.242   493   23.267   542
23.292   500   23.317   551
23.343   504   23.368   560
23.393   503   23.419   568
23.444   497   23.470   576
23.494   488   23.520   583
23.546   476   23.571   589
23.596   462   23.621   591
23.647   446   23.673   592
23.697   429   23.723   591
23.748   412   23.774   587
23.799   397   23.824   582
23.850   383   23.875   574
23.900   372   23.926   565
23.951   364   23.977   554
24.001   360   24.027   543
24.053   360   24.078   532
24.103   364   24.128   522
24.154   370   24.179   513
24.204   381   24.230   506
24.255   392   24.281   500
24.305   407   24.331   498
24.357   422   24.382   499
24.407   437   24.432   502
24.458   451   24.484   508
24.508   464   24.534   517
24.559   474   24.585   527
24.610   481   24.635   539
24.661   486   24.686   552
24.711   488   24.737   566
24.762   485   24.788   578
24.812   481   24.838   590
24.864   473   24.889   598
24.914   462   24.939   605
24.965   451   24.991   609
25.015   438   25.041   609
25.066   425   25.092   607
25.116   413   25.142   601
25.168   402   25.193   592
25.218   392   25.243   580
