# Created on 2026-03-19 16:57:24.134870+01:00 (1773935844.13487 s)
# baldaquin version: 0.10.2
# Creator: Pendulum View
# Time4   ADC4   Time5   ADC5
0.026   542   0.050   430
0.076   541   0.101   430
0.127   540   0.152   429
0.177   538   0.203   428
0.228   540   0.253   428
0.279   541   0.304   428
0.330   543   0.354   428
0.380   544   0.406   428
0.431   542   0.456   429
0.481   538   0.507   433
0.533   527   0.557   445
0.583   511   0.608   462
0.634   488   0.658   485
0.684   461   0.710   512
0.735   433   0.761   542
0.785   404   0.811   571
0.837   376   0.862   599
0.887   351   0.912   624
0.938   331   0.964   645
0.988   316   1.014   659
1.039   309   1.065   667
1.090   308   1.115   667
1.141   315   1.166   661
1.191   328   1.217   648
1.242   347   1.268   629
1.292   371   1.318   605
1.344   399   1.369   578
1.394   428   1.419   549
1.445   457   1.471   521
1.495   485   1.521   494
1.546   509   1.572   471
1.596   527   1.622   453
1.648   540   1.673   442
1.698   545   1.723   436
1.749   543   1.775   437
1.799   533   1.825   446
1.850   517   1.876   460
1.901   496   1.926   480
1.952   470   1.977   504
2.002   441   2.028   530
2.053   411   2.079   559
2.103   382   2.129   586
2.155   356   2.180   611
2.205   334   2.230   632
2.256   318   2.282   648
2.306   308   2.332   657
2.357   306   2.383   661
2.407   310   2.433   657
2.459   321   2.484   647
2.509   338   2.534   631
2.560   361   2.586   610
2.610   388   2.636   586
2.661   418   2.687   559
2.712   447   2.737   532
2.763   476   2.788   506
2.813   501   2.839   483
2.864   522   2.890   464
2.914   537   2.940   451
2.966   545   2.991   444
3.016   547   3.041   443
3.067   541   3.093   448
3.117   527   3.143   460
3.168   507   3.194   478
3.218   482   3.244   499
3.270   454   3.295   524
3.320   424   3.345   550
3.371   394   3.397   576
3.421   366   3.447   600
3.472   341   3.498   622
3.523   322   3.548   639
3.574   309   3.599   649
3.624   304   3.650   654
3.675   304   3.701   653
3.725   313   3.751   645
3.777   328   3.802   631
3.827   349   3.852   613
3.878   375   3.904   590
3.928   403   3.954   565
3.979   434   4.005   539
