# Created on 2026-03-19 16:36:39.346334+01:00 (1773934599.346334 s)
# baldaquin version: 0.10.2
# Creator: Pendulum View
# Time4   ADC4   Time5   ADC5
0.026   496   0.050   364
0.076   498   0.102   370
0.127   498   0.152   381
0.177   498   0.203   396
0.228   498   0.253   415
0.279   498   0.304   438
0.330   498   0.354   463
0.380   498   0.406   489
0.431   498   0.456   515
0.481   496   0.507   538
0.533   498   0.557   559
0.583   498   0.608   574
0.634   498   0.659   586
0.684   498   0.710   591
0.735   498   0.760   592
0.786   498   0.811   587
0.837   498   0.861   575
0.887   499   0.913   560
0.938   498   0.963   541
0.988   499   1.014   519
1.040   498   1.064   494
1.090   498   1.115   470
1.141   499   1.165   446
1.191   498   1.217   424
1.242   498   1.267   406
1.292   498   1.318   390
1.344   498   1.368   380
1.394   498   1.419   374
1.445   498   1.470   373
1.495   498   1.521   379
1.546   498   1.571   388
1.597   498   1.622   402
1.648   498   1.672   422
1.698   498   1.724   444
1.749   498   1.774   466
1.799   498   1.825   490
1.851   498   1.875   513
1.901   498   1.926   535
1.952   498   1.976   554
2.002   498   2.028   569
2.053   498   2.078   580
2.103   498   2.129   586
2.155   498   2.180   586
2.205   499   2.230   582
2.256   498   2.282   573
2.306   498   2.332   559
2.357   498   2.383   540
2.408   498   2.433   518
2.459   498   2.484   496
2.509   498   2.535   472
2.560   498   2.586   449
2.610   498   2.636   427
2.662   498   2.687   408
2.712   498   2.737   394
2.763   498   2.788   383
2.813   497   2.839   377
2.864   498   2.890   376
2.914   498   2.940   382
2.966   498   2.991   392
3.016   498   3.041   407
3.067   498   3.093   424
3.117   498   3.143   446
3.168   498   3.194   468
3.219   498   3.244   491
3.270   498   3.295   514
3.320   498   3.346   535
3.371   498   3.397   552
3.421   499   3.447   568
3.473   499   3.498   578
3.523   499   3.548   584
3.574   499   3.600   584
3.624   499   3.650   579
3.675   499   3.701   569
3.725   499   3.751   555
3.777   499   3.802   536
3.827   498   3.852   516
3.878   498   3.904   494
3.928   498   3.954   471
3.979   498   4.005   449
4.030   498   4.055   428
4.081   497   4.106   411
4.131   498   4.157   397
4.182   498   4.208   388
4.232   498   4.258   383
4.284   498   4.309   382
4.334   498   4.359   387
4.385   498   4.411   397
4.435   498   4.461   410
4.486   498   4.512   427
4.536   498   4.562   448
4.588   498   4.613   469
4.638   498   4.663   491
4.689   499   4.715   513
4.739   498   4.765   533
4.790   499   4.816   550
4.841   499   4.866   565
4.892   499   4.917   575
4.942   499   4.968   580
4.993   499   5.019   580
5.043   499   5.069   575
5.095   499   5.120   566
5.145   499   5.170   552
5.196   498   5.222   535
5.246   498   5.272   515
5.297   498   5.323   493
5.347   498   5.373   471
5.399   498   5.424   450
5.449   498   5.474   430
5.500   498   5.526   413
5.550   498   5.576   400
5.601   497   5.627   390
5.652   498   5.677   385
5.703   497   5.728   385
5.753   498   5.779   391
5.804   498   5.830   400
5.854   498   5.880   413
5.906   498   5.931   429
5.956   498   5.981   450
6.007   498   6.033   471
6.057   498   6.083   492
6.108   499   6.134   512
6.158   498   6.184   532
6.210   499   6.235   549
6.260   499   6.285   562
6.311   499   6.337   571
6.361   499   6.387   576
6.412   498   6.438   576
6.463   498   6.488   571
6.514   499   6.539   562
6.564   497   6.590   549
6.615   498   6.641   532
6.665   498   6.691   513
6.717   498   6.742   492
6.767   498   6.792   471
6.818   498   6.844   451
6.868   498   6.894   432
6.919   498   6.945   416
6.969   498   6.995   403
7.021   498   7.046   394
7.071   498   7.096   388
7.122   499   7.148   389
7.172   498   7.198   394
7.223   498   7.249   403
7.274   498   7.299   416
7.325   498   7.350   432
7.376   498   7.401   451
7.426   499   7.452   471
7.477   498   7.502   492
7.528   498   7.553   512
7.579   498   7.603   531
7.629   498   7.655   546
7.680   498   7.705   559
7.730   498   7.756   567
7.782   498   7.806   572
7.832   498   7.857   573
7.883   498   7.907   568
7.933   498   7.959   559
7.984   498   8.009   546
8.034   497   8.060   530
8.086   498   8.110   511
8.136   498   8.161   491
8.187   498   8.212   471
8.237   498   8.263   451
8.288   497   8.313   433
8.339   498   8.364   418
8.390   498   8.414   406
8.440   498   8.466   397
8.491   498   8.516   392
8.541   498   8.567   392
8.593   498   8.617   397
8.643   498   8.668   406
8.694   498   8.718   419
8.744   498   8.770   435
8.795   498   8.820   453
8.845   498   8.871   473
8.897   498   8.921   493
8.947   498   8.972   512
8.998   498   9.023   529
9.048   498   9.074   545
9.099   498   9.124   557
9.150   498   9.175   565
9.201   498   9.225   569
9.251   499   9.277   569
9.302   498   9.327   564
9.352   498   9.378   555
9.404   498   9.428   543
9.454   499   9.479   527
9.505   498   9.529   509
9.555   498   9.581   490
9.606   498   9.631   470
9.656   498   9.682   451
9.708   498   9.732   434
9.758   498   9.783   419
9.809   498   9.834   408
9.859   498   9.885   399
9.910   498   9.935   394
9.961   498   9.986   396
10.012   498   10.036   400
10.062   498   10.088   409
10.113   498   10.138   421
10.163   498   10.189   436
10.215   498   10.239   454
10.265   498   10.290   472
10.316   498   10.340   492
10.366   498   10.392   511
10.417   498   10.443   529
10.467   498   10.493   543
10.519   499   10.544   555
10.569   498   10.594   562
10.620   498   10.646   567
10.670   499   10.696   566
10.721   499   10.747   561
10.772   499   10.797   552
10.823   498   10.848   540
10.873   498   10.899   524
10.924   498   10.950   506
10.974   497   11.000   486
11.026   497   11.051   468
11.076   498   11.101   450
11.127   497   11.153   433
11.177   498   11.203   420
11.228   498   11.254   409
11.278   498   11.304   401
11.330   498   11.355   397
11.380   498   11.405   397
11.431   498   11.457   402
11.481   497   11.507   411
11.532   498   11.558   423
11.583   497   11.608   438
11.634   498   11.659   456
11.684   498   11.710   474
11.735   498   11.761   494
11.785   498   11.811   511
11.837   498   11.862   528
11.887   498   11.912   542
11.938   499   11.964   553
11.988   499   12.014   561
12.039   499   12.065   564
12.089   499   12.115   563
12.141   499   12.166   557
12.191   499   12.216   550
12.242   498   12.268   538
12.292   498   12.318   522
12.343   498   12.369   505
12.394   498   12.419   487
12.445   498   12.470   468
12.495   498   12.521   450
12.546   497   12.572   434
12.596   497   12.622   420
12.648   496   12.673   409
12.698   496   12.723   401
12.749   496   12.775   398
12.799   496   12.825   399
12.850   497   12.876   405
12.900   497   12.926   413
12.952   497   12.977   425
13.002   498   13.027   440
13.053   499   13.079   458
13.103   498   13.129   475
13.154   499   13.180   495
13.205   500   13.230   512
13.256   499   13.281   528
13.306   499   13.332   541
13.357   499   13.383   552
13.407   499   13.433   559
13.459   498   13.484   561
13.509   499   13.534   560
13.560   498   13.586   555
13.610   498   13.636   546
13.661   498   13.687   535
13.712   498   13.737   520
13.763   498   13.788   504
13.813   498   13.838   487
13.864   498   13.890   468
13.914   498   13.940   451
13.965   497   13.991   435
14.016   497   14.041   422
14.067   497   14.092   411
14.117   498   14.143   405
14.168   497   14.194   401
14.218   497   14.244   402
14.270   497   14.295   407
14.320   497   14.345   415
14.371   497   14.397   427
14.421   498   14.447   441
14.472   498   14.498   458
14.523   498   14.548   475
14.574   498   14.599   493
14.624   499   14.649   511
14.675   499   14.701   527
14.725   499   14.751   540
14.776   498   14.802   550
14.827   499   14.852   556
14.878   499   14.903   560
14.929   499   14.954   559
14.979   499   15.005   554
15.030   499   15.055   545
15.081   498   15.106   533
15.132   497   15.156   518
15.182   497   15.208   501
15.233   497   15.258   484
15.283   497   15.309   467
15.335   497   15.359   450
15.385   497   15.410   435
15.436   497   15.460   422
15.486   497   15.512   414
15.537   497   15.562   407
15.587   498   15.613   404
15.639   498   15.663   405
15.689   498   15.714   411
15.740   499   15.765   419
15.790   499   15.816   431
15.841   499   15.866   445
15.892   498   15.917   460
15.943   498   15.967   477
15.993   498   16.019   494
16.044   498   16.069   511
16.094   499   16.120   525
16.146   498   16.170   537
16.196   498   16.221   547
16.247   498   16.272   554
16.297   498   16.323   557
16.348   498   16.373   556
16.398   498   16.424   551
16.450   498   16.474   542
16.500   498   16.525   531
16.551   497   16.576   516
16.601   497   16.627   501
16.652   497   16.677   483
16.703   497   16.728   466
16.754   497   16.778   450
16.804   497   16.830   436
16.855   497   16.880   424
